ts	phase	decision	why	evidence	result
2026-08-27T03:50:31Z	scope	kept the PR to the five QSMxT recipe files	the workspace also contains unrelated MuscleMap work	git status --short	scope fixed before release research
2026-08-27T03:51:48Z	release	updated QSMxT from 9.11.0 to latest stable 9.14.0	GitHub latest release endpoint reports 9.14.0 and both Linux archives exist	https://github.com/QSMxT/QSMxT/releases/tag/v9.14.0	recipe and fulltest versions now 9.14.0
2026-08-27T03:51:48Z	compatibility	changed the derivative root to derivatives/qsmxt	upstream renamed the output directory in 9.10; the old adapter path could miss real outputs	recipes/qsmxt/qsmxt.py:36	failing path contract now fixed
2026-08-27T03:53:24Z	scope	superseded the initial count: the PR contains six QSMxT files	the version check added build.yaml to the five OpenRecon files	/storage/github-repos/neurocontainers-qsmxt-pr git status --short	isolated worktree has only six QSMxT files
2026-08-27T03:54:27Z	verification	verified the 9.14.0 recipe, OpenRecon bridge, and real release artifacts	prove the version pin and feature path before creating the PR	25 QSMxT tests; 260 builder tests; builder stage --download; qsmxt --version	all local checks passed; Docker daemon unavailable
2026-08-27T03:55:18Z	commit	committed only the six QSMxT files on an origin/main-based branch	keep the PR isolated and let one_pr_release plan one candidate	commit 552f788a; one_pr_release recipes=[qsmxt]	release planner selected qsmxt 9.14.0 x86_64
2026-08-27T04:04:03Z	ci	watched PR 3072 until every reported check completed	the user asked to babysit the build and fix in-scope failures	https://github.com/neurodesk/neurocontainers/pull/3072/checks	16 successful, 3 skipped, 0 failing, 0 pending; candidate build and release gate passed
2026-08-27T04:04:35Z	artifact	inspected the uploaded candidate report instead of relying only on check status	verify the built image and SIF test results directly	candidate-report.json from Actions run 33037825828 artifact 9632824390	qsmxt 9.14.0; 6 of 6 tests passed; Dive 99.3851 percent
2026-08-27T04:07:32Z	audit-fix	removed qsmxt_source_version and derived all asset URLs and docs from context.version	the independent audit found a project-standard violation and stale-version risk	commit 41b587ce; generated Dockerfile uses qsmxt-v9.14.0	recipe validation and stage --download passed; replacement CI started
2026-08-27T04:16:10Z	final-ci	watched the replacement candidate for commit 41b587ce through the release gate	the audit fix changed build.yaml and required fresh artifact proof	Actions run 33038440264; candidate report artifact 9633056630	qsmxt 9.14.0; 6 of 6 tests passed; Dive 99.3851 percent; PR clean
